,Sa2,Year,regionName,score,bonus_collab,core_bonus_score_ratio
0,207021158,2017,Doncaster East,195,0,0
0,211011253,2017,Ferntree Gully,194,0,0
0,506031124,2017,Bentley - Wilson - St James,193,7,0.03626943
0,117031333,2017,Potts Point - Woolloomooloo,193,0,0
0,401071023,2017,Goodwood - Millswood,192,0,0
0,117031331,2017,Glebe - Forest Lodge,190,0,0
0,121031412,2017,Wahroonga - Warrawee,190,0,0
0,127031523,2017,Chipping Norton - Moorebank,190,7,0.036842105
0,210051243,2017,Campbellfield - Coolaroo,189,1,0.005291005
0,206041119,2017,East Melbourne,189,19,0.100529101
0,128011531,2017,Sylvania - Taren Point,188,2,0.010638298
0,121031411,2017,Turramurra,188,5,0.026595745
0,128021538,2017,Sutherland - Kirrawee,187,2,0.010695187
0,107041149,2017,Wollongong,187,3,0.016042781
0,309051244,2017,Mudgeeraba - Bonogin,185,1,0.005405405
0,117031329,2017,Darlinghurst,185,8,0.043243243
0,507041181,2017,Melville,185,0,0
0,209011198,2017,Heidelberg - Rosanna,184,4,0.02173913
0,309011225,2017,Burleigh Heads,184,0,0
0,211031264,2017,Croydon,184,0,0
0,207011149,2017,Camberwell,184,0,0
0,214011375,2017,Seaford (Vic.),184,0,0
0,403031069,2017,Mitcham (SA),183,5,0.027322404
0,404031107,2017,Plympton,181,8,0.044198895
0,119031372,2017,Peakhurst - Lugarno,181,0,0
0,117011322,2017,Mascot - Eastlakes,181,4,0.022099448
0,122031426,2017,Dee Why - North Curl Curl,180,1,0.005555556
0,121021403,2017,Asquith - Mount Colah,180,0,0
0,208011173,2017,Sandringham - Black Rock,180,0,0
0,111031229,2017,Newcastle - Cooks Hill,180,0,0
0,206031114,2017,Essendon - Aberfeldie,179,0,0
0,206041126,2017,Southbank,179,18,0.100558659
0,208041195,2017,Malvern East,179,2,0.011173184
0,208031184,2017,Braeside,179,6,0.033519553
0,304031096,2017,St Lucia,178,26,0.146067416
0,209031209,2017,Eltham,178,0,0
0,214021381,2017,Mount Eliza,178,0,0
0,126011495,2017,Epping - North Epping,177,3,0.016949153
0,206071142,2017,Fitzroy,177,23,0.129943503
0,316011413,2017,Buderim - North,177,0,0
0,126021502,2017,Ryde - Putney,176,2,0.011363636
0,305041137,2017,Toowong,175,1,0.005714286
0,505021092,2017,Scarborough,173,0,0
0,506021118,2017,Belmont - Ascot - Redcliffe,173,0,0
0,122021421,2017,Bayview - Elanora Heights,173,0,0
0,206011105,2017,Brunswick,173,3,0.01734104
0,125041492,2017,Parramatta - Rosehill,173,7,0.040462428
0,211021261,2017,Donvale - Park Orchards,172,0,0
0,120021389,2017,Lilyfield - Rozelle,172,9,0.052325581
0,505021084,2017,Balcatta - Hamersley,171,1,0.005847953
0,208021175,2017,Bentleigh East,170,0,0
0,126011496,2017,Pennant Hills - Cheltenham,169,0,0
0,309081261,2017,Robina,169,0,0
0,126021501,2017,North Ryde - East Ryde,168,28,0.166666667
0,210021235,2017,Romsey,167,0,0
0,505021089,2017,Karrinyup - Gwelup - Carine,166,0,0
0,207011147,2017,Balwyn,165,0,0
0,206021112,2017,Thornbury,164,0,0
0,507041175,2017,Applecross - Ardross,164,1,0.006097561
0,119031374,2017,South Hurstville - Blakehurst,163,0,0
0,102011032,2017,Gosford - Springfield,162,1,0.00617284
0,211011257,2017,Rowville - North,162,0,0
0,120031397,2017,Strathfield,162,0,0
0,504011047,2017,Morley,161,0,0
0,125021476,2017,Carlingford,161,0,0
0,126021499,2017,Hunters Hill - Woolwich,161,0,0
0,207031161,2017,Blackburn,161,43,0.267080745
0,309071255,2017,Ormeau - Yatala,161,0,0
0,128011530,2017,Miranda - Yowie Bay,161,0,0
0,214011371,2017,Frankston,161,0,0
0,207011155,2017,Surrey Hills (West) - Canterbury,160,0,0
0,212051326,2017,Oakleigh - Huntingdale,160,1,0.00625
0,401051017,2017,Norwood (SA),159,3,0.018867925
0,506031130,2017,Welshpool,158,0,0
0,304031094,2017,Indooroopilly,158,0,0
0,507041178,2017,Booragoon,158,4,0.025316456
0,210011228,2017,Keilor,158,15,0.094936709
0,505021088,2017,Innaloo - Doubleview,157,0,0
0,507021166,2017,Fremantle - South,157,2,0.012738854
0,404021102,2017,The Parks,157,0,0
0,118011347,2017,Woollahra,156,0,0
0,506021123,2017,Victoria Park - Lathlain - Burswood,156,0,0
0,107041146,2017,Figtree - Keiraville,155,15,0.096774194
0,601051027,2017,Hobart,153,0,0
0,505031103,2017,Madeley - Darch - Landsdale,153,6,0.039215686
0,506031131,2017,Willetton,153,0,0
0,504011044,2017,Bassendean - Eden Hill - Ashfield,152,0,0
0,127021521,2017,Wetherill Park Industrial,152,2,0.013157895
0,121021406,2017,Normanhurst - Thornleigh - Westleigh,152,3,0.019736842
0,208011170,2017,Brighton East,151,0,0
0,116011303,2017,Blacktown (East) - Kings Park,151,4,0.026490066
0,203021039,2017,Geelong,150,5,0.033333333
0,506041136,2017,Maddington - Orange Grove - Martin,150,0,0
0,403011057,2017,Glenelg (SA),149,0,0
0,401011002,2017,North Adelaide,148,14,0.094594595
0,126021497,2017,Eastwood - Denistone,148,1,0.006756757
0,119021364,2017,Kingsgrove (North) - Earlwood,148,8,0.054054054
0,309091263,2017,Ashmore,148,0,0
0,206051130,2017,Port Melbourne,147,1,0.006802721
0,301021007,2017,Cleveland,147,0,0
0,505021096,2017,Wembley Downs - Churchlands - Woodlands,147,0,0
0,115011291,2017,Baulkham Hills (West) - Bella Vista,147,2,0.013605442
0,211031263,2017,Bayswater North,147,1,0.006802721
0,211051282,2017,Mount Dandenong - Olinda,147,0,0
0,503021039,2017,Mount Lawley - Inglewood,147,4,0.027210884
0,209011199,2017,Heidelberg West,146,1,0.006849315
0,103041077,2017,Orange,146,16,0.109589041
0,212051327,2017,Wheelers Hill,145,0,0
0,504031063,2017,Malaga,145,0,0
0,120011385,2017,Drummoyne - Rodd Point,144,0,0
0,503011031,2017,Claremont (WA),144,0,0
0,507041177,2017,Bicton - Palmyra,143,0,0
0,309011227,2017,Mermaid Beach - Broadbeach,143,0,0
0,505031108,2017,Wanneroo,143,3,0.020979021
0,212041314,2017,Keysborough,143,44,0.307692308
0,208011172,2017,Hampton,143,3,0.020979021
0,124051471,2017,St Marys - Colyton,142,0,0
0,128021532,2017,Engadine - Loftus,142,0,0
0,507041182,2017,Murdoch - Kardinya,141,7,0.04964539
0,206021111,2017,Northcote,141,0,0
0,207011150,2017,Glen Iris - East,141,2,0.014184397
0,316031427,2017,Maroochydore - Kuluin,141,7,0.04964539
0,314031394,2017,Strathpine - Brendale,139,2,0.014388489
0,120011384,2017,Concord West - North Strathfield,139,0,0
0,401031011,2017,Burnside - Wattle Park,139,0,0
